index	gene
349	ALKBH2
350	ALKBH3
351	ALKBH4
352	ALKBH5
353	ALKBH7
354	ALKBH8
355	ALMS1
356	ALOX12
357	ALOX15
358	ALOX15B
359	ALOX5
360	ALOX5AP
361	ALPG
362	ALPI
363	ALPL
364	ALPP
365	ALS2
366	ALS2CL
367	ALYREF
368	AMACR
369	AMBN
370	AMBP
371	AMBRA1
372	AMD1
373	AMDHD1
374	AMELX
375	AMFR
376	AMH
377	AMHR2
378	AMN
379	AMOT
380	AMOTL1
381	AMPD1
382	AMPD3
383	AMPH
384	AMT
385	AMTN
386	AMY1A
387	AMY1B
388	AMY1C
389	ANAPC1
390	ANAPC10
391	ANAPC11
392	ANAPC13
393	ANAPC15
394	ANAPC16
395	ANAPC2
396	ANAPC4
397	ANAPC5
398	ANAPC7
399	ANG
400	ANGPT1
401	ANGPT2
402	ANGPT4
403	ANGPTL3
404	ANGPTL4
405	ANK1
406	ANK2
407	ANK3
408	ANKFY1
409	ANKLE2
410	ANKMY2
411	ANKRA2
412	ANKRD1
413	ANKRD2
414	ANKRD27
415	ANKRD28
416	ANKRD49
417	ANKS4B
418	ANKS6
419	ANLN
420	ANO1
421	ANO10
422	ANO6
423	ANO8
424	ANOS1
425	ANP32A
426	ANP32B
427	ANP32E
428	ANPEP
429	ANTXR1
430	ANTXR2
431	ANXA1
432	ANXA11
433	ANXA2
434	ANXA5
435	ANXA6
436	ANXA7
437	AOC1
438	AOC2
439	AOC3
440	AOPEP
441	AOX1
442	AP1AR
443	AP1B1
444	AP1G1
445	AP1G2
446	AP1M1
447	AP1M2
448	AP1S1
449	AP1S2
450	AP1S3
451	AP2A1
452	AP2A2
453	AP2B1
454	AP2M1
455	AP2S1
456	AP3B1
457	AP3B2
458	AP3M1
459	AP3M2
460	AP3S1
461	AP3S2
462	AP4B1
463	AP4E1
464	AP4M1
465	AP4S1
466	AP5M1
467	APAF1
468	APBA1
469	APBB1
470	APBB1IP
471	APBB2
472	APC
473	APC2
474	APCS
475	APEH
476	APEX1
477	APEX2
478	APH1A
479	APH1B
480	API5
481	APIP
482	APLF
483	APLNR
484	APLP1
485	APLP2
486	APOA1
487	APOA2
488	APOA4
489	APOA5
490	APOB
491	APOBEC1
492	APOBEC3A
493	APOBEC3F
494	APOBEC3G
495	APOC1
496	APOC2
497	APOC3
498	APOC4
499	APOE
500	APOF
501	APOH
502	APOL1
503	APOM
504	APOO
505	APOOL
506	APP
507	APPBP2
508	APPL1
509	APRT
510	APTX
511	AQP1
512	AQP10
513	AQP11
514	AQP2
515	AQP3
516	AQP4
517	AQP5
518	AQP8
519	AQR
520	AR
521	ARAP1
522	ARAP2
523	ARAP3
524	ARCN1
525	AREL1
526	ARF3
527	ARF4
528	ARF5
529	ARF6
530	ARFGAP1
531	ARFGAP2
532	ARFGAP3
533	ARFGEF1
534	ARFGEF2
535	ARFIP1
536	ARFIP2
537	ARFRP1
538	ARG1
539	ARG2
540	ARGLU1
541	ARHGAP1
542	ARHGAP10
543	ARHGAP11A
544	ARHGAP12
545	ARHGAP15
546	ARHGAP17
547	ARHGAP19
548	ARHGAP21
549	ARHGAP22
550	ARHGAP24
551	ARHGAP25
552	ARHGAP28
553	ARHGAP29
554	ARHGAP30
555	ARHGAP31
556	ARHGAP32
557	ARHGAP36
558	ARHGAP39
559	ARHGAP4
560	ARHGAP44
561	ARHGAP45
562	ARHGAP5
563	ARHGAP6
564	ARHGAP8
565	ARHGAP9
566	ARHGDIA
567	ARHGDIB
568	ARHGDIG
569	ARHGEF1
570	ARHGEF10
571	ARHGEF10L
572	ARHGEF11
573	ARHGEF12
574	ARHGEF15
575	ARHGEF16
576	ARHGEF17
577	ARHGEF18
578	ARHGEF2
579	ARHGEF25
580	ARHGEF28
581	ARHGEF3
582	ARHGEF4
583	ARHGEF40
584	ARHGEF5
585	ARHGEF6
586	ARHGEF7
587	ARHGEF9
588	ARID1A
589	ARID1B
590	ARID2
591	ARID3A
592	ARID4A
593	ARID5B
594	ARIH1
595	ARIH2
596	ARL1
597	ARL13B
598	ARL2
599	ARL2BP
600	ARL3
601	ARL4D
602	ARL6
603	ARL6IP5
604	ARL8A
605	ARL8B
606	ARNT
607	ARNT2
608	ARPC1A
609	ARPC1B
610	ARPC2
611	ARPC3
612	ARPC4
613	ARPC5
614	ARPC5L
615	ARPP19
616	ARR3
617	ARRB1
618	ARRB2
619	ARRDC3
620	ARSA
621	ARSB
622	ARSG
623	ARSI
624	ARSK
625	ART3
626	ASAH1
627	ASAP1
628	ASAP2
629	ASAP3
630	ASB6
631	ASB8
632	ASCC1
633	ASCC3
634	ASCL1
635	ASCL2
636	ASCL3
637	ASF1A
638	ASF1B
639	ASGR1
640	ASGR2
641	ASH1L
642	ASH2L
643	ASIC1
644	ASIC2
645	ASIC3
646	ASL
647	ASNS
648	ASPA
649	ASPH
650	ASPHD1
651	ASPM
652	ASRGL1
653	ASS1
654	ASXL1
655	ASXL2
656	ASZ1
657	ATAD2
658	ATAD3A
659	ATAD5
660	ATF1
661	ATF2
662	ATF3
663	ATF4
664	ATF6
665	ATF6B
666	ATF7
667	ATF7IP
668	ATF7IP2
669	ATG10
670	ATG101
671	ATG12
672	ATG13
673	ATG14
674	ATG16L1
675	ATG16L2
676	ATG3
677	ATG4A
678	ATG4B
679	ATG4C
680	ATG4D
681	ATG5
682	ATG7
683	ATG9A
684	ATIC
685	ATL1
686	ATL3
687	ATM
688	ATMIN
689	ATN1
690	ATOH1
691	ATOH7
692	ATOX1
693	ATP11A
694	ATP11B
695	ATP12A
696	ATP13A2
697	ATP1A1
698	ATP1A2
699	ATP1A3
700	ATP1A4
701	ATP1B1
702	ATP1B2
703	ATP1B3
704	ATP1B4
705	ATP23
706	ATP2A1
707	ATP2A2
708	ATP2A3
709	ATP2B1
710	ATP2B4
711	ATP4A
712	ATP4B
713	ATP5F1A
714	ATP5F1B
715	ATP5F1C
716	ATP5F1D
717	ATP5F1E
718	ATP5IF1
719	ATP5MC1
720	ATP5MC2
721	ATP5MC3
722	ATP5ME
723	ATP5MF
724	ATP5MG
725	ATP5PB
726	ATP5PD
727	ATP5PF
728	ATP5PO
729	ATP6AP1
730	ATP6AP2
731	ATP6V0A1
732	ATP6V0A2
733	ATP6V0A4
734	ATP6V0B
735	ATP6V0C
736	ATP6V0D1
737	ATP6V0D2
738	ATP6V0E1
739	ATP6V0E2
740	ATP6V1A
741	ATP6V1B1
742	ATP6V1B2
743	ATP6V1C1
744	ATP6V1C2
745	ATP6V1D
746	ATP6V1E1
747	ATP6V1E2
748	ATP6V1F
749	ATP6V1G1
750	ATP6V1G2
751	ATP6V1G3
752	ATP6V1H
753	ATP7A
754	ATP7B
755	ATP8A1
756	ATP8B2
757	ATP8B4
758	ATPAF1
759	ATPAF2
760	ATR
761	ATRIP
762	ATRN
763	ATRX
764	ATXN1
765	ATXN10
766	ATXN1L
767	ATXN2L
768	ATXN3L
769	ATXN7L3
770	AUH
771	AUP1
772	AURKA
773	AURKAIP1
774	AURKB
775	AURKC
776	AVIL
777	AVP
778	AVPR1A
779	AVPR1B
780	AXIN1
781	AXIN2
782	AXL
783	AZGP1
784	AZI2
785	AZIN1
786	AZIN2
787	AZU1
788	B3GALNT1
789	B3GALNT2
790	B3GALT1
791	B3GALT2
792	B3GALT4
793	B3GALT5
794	B3GALT6
795	B3GAT1
796	B3GAT2
797	B3GAT3
798	B3GLCT
799	B3GNT2
800	B3GNT3
801	B3GNT4
802	B3GNT5
803	B3GNT7
804	B3GNT8
805	B3GNT9
806	B4GALNT1
